,station,network,channel,location,rate,start_time,end_time,latitude,longitude,elevation,depth,dip,azimuth
0,AAR,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",39.27594,-121.02696,911.0,0.0,-90.0,0.0
1,AAR,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2006/01/04,19:19:00",39.27594,-121.02696,911.0,0.0,-90.0,0.0
2,AAR,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/01/04,19:19:00",39.27594,-121.02696,911.0,0.0,-90.0,0.0
3,AAS,NC,EHZ,--,100.0,"1984/11/27,18:45:00","1987/05/01,00:00:00",38.43014,-121.10959,31.0,0.0,-90.0,0.0
4,AAS,NC,EHZ,--,100.0,"1987/05/01,00:00:00","3000/01/01,00:00:00",38.43014,-121.10959,31.0,0.0,-90.0,0.0
5,AAS,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/01/24,18:00:00",38.43014,-121.10959,31.0,0.0,-90.0,0.0
6,ABJ,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",39.16577,-121.19299,434.0,0.0,-90.0,0.0
7,ABJ,NC,EHZ,--,100.0,"1987/05/01,00:00:00","1992/11/10,20:00:00",39.16577,-121.19299,434.0,0.0,-90.0,0.0
8,ABJ,NC,EHZ,--,100.0,"1992/11/10,20:00:00","2019/06/26,19:17:00",39.16577,-121.19299,434.0,0.0,-90.0,0.0
9,ABJ,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/01/24,18:00:00",39.16577,-121.19299,434.0,0.0,-90.0,0.0
10,ABR,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",39.13813,-121.48817,-1.0,0.0,-90.0,0.0
11,ABR,NC,EHZ,--,100.0,"1987/05/01,00:00:00","1997/08/04,21:02:00",39.13813,-121.48817,-1.0,0.0,-90.0,0.0
12,ABR,NC,SHZ,--,20.0,"1994/11/28,00:00:00","1997/08/04,21:02:00",39.13813,-121.48817,-1.0,0.0,-90.0,0.0
13,ADW,NC,EHZ,--,100.0,"1984/01/01,00:00:00","1987/05/01,00:00:00",38.43896,-120.84938,228.0,0.0,-90.0,0.0
14,ADW,NC,EHZ,--,100.0,"1987/05/01,00:00:00","2006/04/20,01:08:00",38.43896,-120.84938,228.0,0.0,-90.0,0.0
15,ADW,NC,SHZ,--,20.0,"1994/11/28,00:00:00","2006/04/20,01:08:00",38.43896,-120.84938,228.0,0.0,-90.0,0.0
